post_id,title,category,score,num_comments,author,collected_at
47674662,Show HN: A social feed with no algo where communities decide what gets seen,entertainment,8.0,5.0,smnkgv,2026-04-08 12:18:43
47673182,Health benefits of Paris climate goals could save lives by 2040,worldnews,7.0,0.0,lentoutcry,2026-04-08 12:22:19
47650502,Computational Physics (2nd Edition) (2025),science,183.0,22.0,teleforce,2026-04-08 12:18:44
47679573,Apple Is Reportedly Facing a 'Massive Dilemma' with the MacBook Neo,entertainment,25.0,21.0,thm,2026-04-08 12:18:46
,,science,,,,
47641615,Sopwith – 1984 Game (2000),sports,99.0,42.0,elvis70,2026-04-08 12:23:00
47662429,Show HN: Weird Clocks,entertainment,48.0,16.0,vunderba,2026-04-08 12:18:57
47650234,Panorama – AI that finds your team's workflows and hidden structures,sports,6.0,1.0,bryantwolf,2026-04-08 12:25:31
,,worldnews,,,,
47632504,"""Cognitive surrender"" leads AI users to abandon logical thinking, research finds",science,99.0,43.0,Bender,2026-04-08 12:24:59
47655392,Show HN: I made a YouTube search form with advanced filters,entertainment,318.0,201.0,nevernothing,2026-04-08 12:18:47
47637828,Show HN: Tusk for macOS and Gnome,entertainment,116.0,42.0,factorialboy,2026-04-08 12:17:50
missing_id_3,,entertainment,,,,
47655392,Show HN: I made a YouTube search form with advanced filters,entertainment,318.0,201.0,nevernothing,2026-04-08 12:18:47
47660853,Book review: There Is No Antimemetics Division,entertainment,278.0,223.0,ibobev,2026-04-08 12:18:14
47682098,Ex-Meta worker investigated for downloading 30k private Facebook photos,entertainment,83.0,32.0,1659447091,2026-04-08 12:17:24
47667672,"Show HN: Hippo, biologically inspired memory for AI agents",entertainment,121.0,24.0,kitfunso,2026-04-08 12:17:49
47636579,Show HN: Anos – a hand-written ~100KiB microkernel for x86-64 and RISC-V,entertainment,109.0,31.0,noone_youknow,2026-04-08 12:17:38
47681112,Show HN: An interactive map of Tolkien's Middle-earth,entertainment,168.0,33.0,frasermarlow,2026-04-08 12:16:22
47637757,Embarrassingly simple self-distillation improves code generation,technology,650.0,199.0,Anon84,2026-04-08 12:19:40
,,worldnews,,,,
47655367,"Show HN: Gemma Gem – AI model embedded in a browser – no API keys, no cloud",technology,153.0,20.0,ikessler,2026-04-08 12:18:17
47629021,Global Physics Photowalk: 2025 winners revealed,worldnews,26.0,1.0,ibobev,2026-04-08 12:17:28
47636765,Endian wars and anti-portability: this again?,worldnews,46.0,66.0,awilfox,2026-04-08 12:25:23
47664186,"Battle for Wesnoth: open-source, turn-based strategy game",sports,529.0,159.0,akyuu,2026-04-08 12:17:51
47668127,Bitwarden Is Down,worldnews,17.0,3.0,zhan_eg,2026-04-08 12:25:42
47664205,Adobe modifies hosts file to detect whether Creative Cloud is installed,technology,330.0,166.0,rglullis,2026-04-08 12:18:30
47677556,Show HN: A (marginally) useful x86-64 ELF executable in 298 bytes,entertainment,12.0,0.0,meribold,2026-04-08 12:18:32
47675625,Cloudflare targets 2029 for full post-quantum security,technology,307.0,95.0,ilreb,2026-04-08 12:16:30
47633676,"Extra usage credit for Pro, Max, and Team plans",sports,64.0,61.0,angst,2026-04-08 12:21:59
missing_id_1,,sports,,,,
47655466,Employers use your personal data to figure out the lowest salary you'll accept,technology,454.0,287.0,thisislife2,2026-04-08 12:18:55
missing_id_13,,entertainment,,,,
47651764,How Close Is Too Close? Applying Fluid Dynamics Research Methods to PC Cooling,science,3.0,1.0,LabsLucas,2026-04-08 12:25:23
47624572,A database of analog cameras that can be 3D printed,technology,86.0,10.0,thomasjb,2026-04-08 12:16:25
47654629,The Harvard Library Passport,sports,4.0,0.0,fi-le,2026-04-08 12:24:48
