post_id,title,category,score,num_comments,author,collected_at,engagement,popular
47627419,The Axios supply chain attack used individually targeted social engineering,worldnews,47,12,cmitsakis,2026-04-08 12:22:38,0.25,False
47680124,IPv6 is the only way forward,worldnews,54,150,quaintdev,2026-04-08 12:16:48,2.727272727272727,False
47675835,Wireless Festival cancelled after government stops Kanye West entering UK,worldnews,12,1,manarth,2026-04-08 12:20:13,0.07692307692307693,False
47674027,Show HN: A cartographer's attempt to realistically map Tolkien's world,entertainment,158,28,intofarlands,2026-04-08 12:17:11,0.1761006289308176,False
47673576,Why a new computer is slower than an old computer [video],technology,17,6,tiernano,2026-04-08 12:19:58,0.3333333333333333,False
47674662,Show HN: A social feed with no algo where communities decide what gets seen,entertainment,8,5,smnkgv,2026-04-08 12:18:43,0.5555555555555556,False
47673182,Health benefits of Paris climate goals could save lives by 2040,worldnews,7,0,lentoutcry,2026-04-08 12:22:19,0.0,False
47650502,Computational Physics (2nd Edition) (2025),science,183,22,teleforce,2026-04-08 12:18:44,0.11956521739130435,False
47679573,Apple Is Reportedly Facing a 'Massive Dilemma' with the MacBook Neo,entertainment,25,21,thm,2026-04-08 12:18:46,0.8076923076923077,False
47641615,Sopwith – 1984 Game (2000),sports,99,42,elvis70,2026-04-08 12:23:00,0.42,False
47662429,Show HN: Weird Clocks,entertainment,48,16,vunderba,2026-04-08 12:18:57,0.32653061224489793,False
47650234,Panorama – AI that finds your team's workflows and hidden structures,sports,6,1,bryantwolf,2026-04-08 12:25:31,0.14285714285714285,False
47632504,"""Cognitive surrender"" leads AI users to abandon logical thinking, research finds",science,99,43,Bender,2026-04-08 12:24:59,0.43,False
47655392,Show HN: I made a YouTube search form with advanced filters,entertainment,318,201,nevernothing,2026-04-08 12:18:47,0.6300940438871473,True
47637828,Show HN: Tusk for macOS and Gnome,entertainment,116,42,factorialboy,2026-04-08 12:17:50,0.358974358974359,False
47660853,Book review: There Is No Antimemetics Division,entertainment,278,223,ibobev,2026-04-08 12:18:14,0.7992831541218638,True
47682098,Ex-Meta worker investigated for downloading 30k private Facebook photos,entertainment,83,32,1659447091,2026-04-08 12:17:24,0.38095238095238093,False
47636579,Show HN: Anos – a hand-written ~100KiB microkernel for x86-64 and RISC-V,entertainment,109,31,noone_youknow,2026-04-08 12:17:38,0.2818181818181818,False
47681112,Show HN: An interactive map of Tolkien's Middle-earth,entertainment,168,33,frasermarlow,2026-04-08 12:16:22,0.1952662721893491,False
47637757,Embarrassingly simple self-distillation improves code generation,technology,650,199,Anon84,2026-04-08 12:19:40,0.30568356374807987,True
47655367,"Show HN: Gemma Gem – AI model embedded in a browser – no API keys, no cloud",technology,153,20,ikessler,2026-04-08 12:18:17,0.12987012987012986,False
47629021,Global Physics Photowalk: 2025 winners revealed,worldnews,26,1,ibobev,2026-04-08 12:17:28,0.037037037037037035,False
47636765,Endian wars and anti-portability: this again?,worldnews,46,66,awilfox,2026-04-08 12:25:23,1.4042553191489362,False
47664186,"Battle for Wesnoth: open-source, turn-based strategy game",sports,529,159,akyuu,2026-04-08 12:17:51,0.3,True
47668127,Bitwarden Is Down,worldnews,17,3,zhan_eg,2026-04-08 12:25:42,0.16666666666666666,False
47664205,Adobe modifies hosts file to detect whether Creative Cloud is installed,technology,330,166,rglullis,2026-04-08 12:18:30,0.5015105740181269,True
47677556,Show HN: A (marginally) useful x86-64 ELF executable in 298 bytes,entertainment,12,0,meribold,2026-04-08 12:18:32,0.0,False
47675625,Cloudflare targets 2029 for full post-quantum security,technology,307,95,ilreb,2026-04-08 12:16:30,0.30844155844155846,True
47633676,"Extra usage credit for Pro, Max, and Team plans",sports,64,61,angst,2026-04-08 12:21:59,0.9384615384615385,False
